"","dep","X18.3.2020","X19.3.2020","X20.3.2020","X21.3.2020","X22.3.2020","X23.3.2020","X24.3.2020","X25.3.2020","X26.3.2020","X27.3.2020","X28.3.2020","X29.3.2020","X30.3.2020","X31.3.2020","X1.4.2020","X2.4.2020","X3.4.2020","X4.4.2020","X5.4.2020","X6.4.2020","X7.4.2020","X8.4.2020","X9.4.2020","X10.4.2020","X11.4.2020","X12.4.2020","X13.4.2020","X14.4.2020","X15.4.2020","X16.4.2020","X17.4.2020","X18.4.2020","X19.4.2020","X20.4.2020","X21.4.2020","X22.4.2020","X23.4.2020","X24.4.2020","X25.4.2020","X26.4.2020","X27.4.2020","X28.4.2020","X29.4.2020","X30.4.2020","X1.5.2020","X2.5.2020","X3.5.2020","X4.5.2020","X5.5.2020","X6.5.2020","X7.5.2020","X8.5.2020","X9.5.2020","X10.5.2020","X11.5.2020","X12.5.2020","X13.5.2020","X14.5.2020","X15.5.2020","X16.5.2020","X17.5.2020","X18.5.2020","X19.5.2020","X20.5.2020","X21.5.2020","X22.5.2020","X23.5.2020","X24.5.2020","X25.5.2020","X26.5.2020","X27.5.2020","X28.5.2020","X29.5.2020","X30.5.2020","X31.5.2020","X1.6.2020","X2.6.2020","X3.6.2020","X4.6.2020","X5.6.2020","X6.6.2020","X7.6.2020","X8.6.2020","X9.6.2020","X10.6.2020","X11.6.2020","X12.6.2020","X13.6.2020","X14.6.2020","X15.6.2020","X16.6.2020","X17.6.2020","X18.6.2020","X19.6.2020","X20.6.2020","X21.6.2020","X22.6.2020","X23.6.2020","X24.6.2020","X25.6.2020","X26.6.2020","X27.6.2020","X28.6.2020","X29.6.2020","X30.6.2020","X1.7.2020","X2.7.2020","X3.7.2020","X4.7.2020","X5.7.2020","X6.7.2020","X7.7.2020","X8.7.2020","X9.7.2020","X10.7.2020","X11.7.2020","X12.7.2020","X13.7.2020","X14.7.2020","X15.7.2020","X16.7.2020","X17.7.2020","X18.7.2020","X19.7.2020","X20.7.2020","X21.7.2020","X22.7.2020","X23.7.2020","X24.7.2020","X25.7.2020","X26.7.2020","X27.7.2020","X28.7.2020","X29.7.2020"
"1","Boaco",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,7,7,7,7,7,8,10,10,10,10,10,10,10,10,11,11,13,13,13,13,13,13,15,15,16,16,16,16,16,16,17,18,20,23,23,23,36,36,39,40,50,50,54,54,54,56,59,63,65,78,94,94,94,108,108,115,118,119,121,121,122,124,124,127,146,147,163,163,163,163,165,165,165,165,165,166,166,170,170,186,190,190,190,190,190,190,191,191,191,194,194,194,194,194
"2","Carazo",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,8,8,8,8,8,8,10,10,12,15,15,16,17,17,17,18,19,23,23,23,23,27,27,28,32,33,38,69,71,74,76,77,77,82,83,85,89,92,93,96,99,102,102,116,131,155,155,156,159,159,159,159,160,161,167,169,173,179,188,194,202,207,208,209,212,213,216,218,222,224,224,224,224,224,224,226,226,230,235,235,237,237,241,244,246,246,247,247,247,247,248,249
"3","Chinandega",0,0,0,1,1,1,1,1,1,3,4,7,7,8,8,9,10,11,11,13,13,13,13,13,13,13,14,14,14,14,14,14,15,16,17,17,17,18,18,18,22,22,24,26,28,32,39,48,59,61,67,72,75,79,85,94,105,107,110,120,131,136,140,142,150,161,163,166,176,182,184,188,199,202,206,210,226,231,236,238,240,244,246,250,252,252,252,252,252,256,265,268,270,271,271,271,277,278,279,282,282,282,283,285,285,285,286,286,286,286,294,296,296,296,298,298,298,298,300,300,302,304,304,306,308,313,319,320,321,321,321,321,321,321
"4","Chontales",0,0,0,0,0,0,0,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,8,8,8,8,8,8,8,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,31,33,34,34,34,34,34,34,35,35,44,44,47,47,47,47,49,49,53,54,55,58,60,60,60,61,63,63,65,65,66,67,69,70,70,70,73,75,77,78,83,84,88,103,108,110,111,112,112,112,114,115,117,118,122,125,130,130,130,132,133,133,134,134,147,148,149,149,151,152,153,154,156,156,156,166,167,167,167,167,168,170,172,172
"5","Estelí",0,8,12,12,12,12,13,14,14,14,14,16,16,18,18,18,18,18,18,20,20,21,22,23,23,23,23,23,23,24,24,24,26,26,28,28,28,28,29,29,29,29,30,33,33,33,33,35,35,36,36,36,36,36,36,40,40,40,41,41,44,45,45,48,51,56,57,57,58,81,83,87,90,90,91,93,97,109,116,124,129,131,142,151,158,161,165,172,178,185,196,227,283,294,302,317,326,333,334,336,336,337,339,344,346,349,388,394,403,405,411,424,438,447,454,454,459,466,472,479,480,486,487,491,491,497,505,505,521,521,522,522,522,526
"6","Granada",0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,9,10,13,13,13,14,15,15,15,15,16,16,16,22,22,22,25,28,33,39,42,44,45,51,53,56,57,59,62,65,66,67,70,70,73,76,79,80,106,109,113,115,116,119,121,127,156,158,161,165,167,171,171,172,177,177,178,180,183,185,185,187,187,187,187,191,191,191,192,193,194,198,198,198,199,201,204,204,218,219,222,222,223,223,224,225,225,226,230,232,235,235,238,250,250,250,255,255,256,256,256,257
"7","Jinotega",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,6,6,8,9,13,13,13,14,15,15,17,18,18,20,20,21,25,25,25,30,31,31,32,35,35,37,60,68,71,85,92,99,105,106,111,120,122,124,134,139,144,148,177,194,198,201,203,205,216,225,225,227,228,230,231,231,237,241,242,242,244,246,247,252,254,255,260,260,260,263,263,268,269,272,272,272,273,273,273,273,273,273,274,276,276,276
"8","León",0,0,0,0,0,0,1,1,2,2,2,5,7,7,7,9,9,9,9,13,14,14,15,15,16,16,17,17,17,18,18,18,18,19,21,22,26,27,28,28,28,29,30,30,30,34,35,36,37,41,43,46,46,49,49,50,53,55,56,59,66,73,79,91,105,115,122,131,140,152,191,211,221,240,249,265,267,281,295,302,314,331,341,346,356,362,368,372,374,399,414,429,435,444,451,455,457,461,466,469,481,488,506,509,514,551,554,556,559,561,564,575,596,601,601,601,602,603,603,603,607,625,625,628,628,630,632,632,656,658,660,663,663,665
"9","Madriz",0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,7,11,11,11,11,11,11,11,11,11,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,16,16,19,19,19,19,19,20,20,20,20,20,20,20,21,22,24,24,24,28,28,28,28,30,30,36,36,36,36,36,58,58,63,69,81,85,88,92,101,103,107,119,119,125,129,146,148,148,157,168,169,170,185,186,186,197,201,211,214,214,215,219,234,235,239,242,244,246,251,254,259,259,264,266,266,274,277,280,281,282,284,284,286,290,297,305,305,309,311
"10","Managua",0,2,13,19,19,26,33,34,35,36,38,39,41,46,55,69,70,75,75,77,79,80,84,86,86,87,87,92,94,100,100,101,101,106,108,110,117,121,135,141,148,163,171,176,184,212,296,338,366,385,425,466,540,556,625,667,722,790,834,893,947,1067,1122,1188,1234,1360,1394,1429,1523,1578,1677,1755,1800,1880,1923,2006,2065,2114,2174,2258,2277,2335,2420,2433,2458,2490,2533,2548,2605,2661,2701,2734,2770,2834,2868,2902,2949,2996,3030,3046,3105,3122,3139,3189,3216,3240,3267,3275,3278,3287,3318,3348,3362,3387,3396,3399,3400,3410,3417,3431,3435,3438,3441,3459,3466,3470,3476,3480,3492,3494,3497,3498,3504,3507
